probe_id,log2FoldChange,AveExpr,t,P.Value,padj,B
209045_at,-0.5319616875232358,6.487968086073968,-12.090740132732588,6.0168924531644955e-30,4.670939771793568e-28,57.051817833014034
224760_at,-0.718434375745339,4.810773008966042,-12.080430088473063,6.64111540550687e-30,5.118436643107562e-28,57.02337965810747
202308_at,-0.6781919369507398,4.099391015783689,-12.03812987713093,9.95196119179027e-30,7.561373067209161e-28,56.69610853045182
1553101_a_at,-0.6242378366144345,4.603718521342292,-12.040470898620816,9.731857811661101e-30,7.446956624023241e-28,56.666144208658906
213664_at,-1.351078491465266,4.179481208260586,-12.003714123662391,1.3822195010020403e-29,1.0427970080447083e-27,56.33327021325848
221840_at,-0.5972562436723289,4.449936554660898,-12.001181480849661,1.4160116253327486e-29,1.0608204574957858e-27,56.31302365733095
225350_s_at,0.6710035815220357,5.535850659530867,11.9942938959775,1.5121252671872345e-29,1.1249581935678363e-27,56.22373327858476
204781_s_at,-0.914146832870947,4.053669099168091,-11.980940283361113,1.7173454041952193e-29,1.268822159665061e-27,56.147103290756604
204916_at,-1.2271628021124101,3.697332993515127,-11.975614188310601,1.8067262276867865e-29,1.3257163066581196e-27,56.112037011222284
205120_s_at,-0.6862893232610101,4.795408881127378,-11.971277098778573,1.8829175837401757e-29,1.3722242227624832e-27,55.99272400009697
226034_at,-1.3650071174398641,2.9594231912303215,-11.950024994451429,2.3050506117901564e-29,1.6685140002775636e-27,55.871213836711426
225858_s_at,0.872720479909058,5.9580713024100325,11.945836860728635,2.3987355497174805e-29,1.7246747613505617e-27,55.74381526547018
220180_at,-1.0657129203561566,3.3525832622463367,-11.918683200054776,3.105097083738321e-29,2.2176603372059087e-27,55.58902805470155
218157_x_at,-0.5398018817528099,5.33925787468118,-11.914654589823035,3.226214872769813e-29,2.2889033067538413e-27,55.43349038991797
204070_at,-1.4278700106635502,4.626319185949119,-11.908090801310696,3.43369885783109e-29,2.4200799910489783e-27,55.399108559269195
205255_x_at,0.7437759524691789,6.169401595587121,11.88971229235817,4.087986894653113e-29,2.862392392314954e-27,55.2002149717262
222753_s_at,-0.6452969635278444,4.2325983540328735,-11.85412612233373,5.727805885813761e-29,3.9588377067563106e-27,54.952532352905465
209109_s_at,1.100511243644564,7.206385736989688,11.847754446959152,6.083992467179074e-29,4.1780648269800914e-27,54.77938503392311
205220_at,-1.738944918067854,2.51180548473168,-11.831108227773942,7.121966344176018e-29,4.8597213659336095e-27,54.74383322892838
218993_at,-0.5742956516092165,4.257302824887238,-11.82032909026539,7.88623405555538e-29,5.313536191016653e-27,54.63910044403478
208755_x_at,0.3725231978575901,9.855255430798316,11.863642667995876,5.234089694786666e-29,3.641091097418802e-27,54.528153894943756
221516_s_at,0.8565705916803046,4.917965253201516,11.795788813014786,9.94419481963089e-29,6.635346498598816e-27,54.441461113062964
208503_s_at,0.8476505811089503,5.179529448571832,11.795494064944581,9.97191063450396e-29,6.635346498598816e-27,54.41918407141012
208744_x_at,1.1358769480992505,5.741569540649975,11.77788679323208,1.1774805133751967e-28,7.786635024560791e-27,54.21364152925376
211940_x_at,0.40189869421249097,9.773157879007366,11.827679808423614,7.356697420267034e-29,4.988120219197515e-27,54.21059877510447
222532_at,-0.6646611669999627,4.613021381014102,-11.766457747860217,1.311505543522447e-28,8.56717005350974e-27,54.08724437480707
240277_at,1.2192896942326108,3.774183389653153,11.76954567600295,1.2738659955581876e-28,8.372347491052064e-27,54.0169915706522
235244_at,-1.054279973706235,3.582213128277668,-11.720935563061188,2.0136321533540881e-28,1.2995205577639968e-26,53.7443475177582
213738_s_at,-0.5127045482645235,8.986977972296437,-11.764184483539925,1.3399200785300615e-28,8.699735637146999e-27,53.64259423009811
219716_at,-0.7194809011797546,4.440261682465743,-11.705492980896457,2.328377977315737e-28,1.4936475012564966e-26,53.536195071480876
212638_s_at,0.8671302386949338,6.283480496419822,11.690655129563227,2.676771948194181e-28,1.7069201119645395e-26,53.33752949242275
219108_x_at,0.8377103524380047,5.822287372594015,11.659311246867574,3.592431702870085e-28,2.2772615877424393e-26,53.071684758078256
214617_at,-0.9373781996744547,3.752917112064349,-11.64815184811043,3.988713873896325e-28,2.4988942532778554e-26,53.06424515127717
201225_s_at,-0.4650317305861132,6.555944446999179,-11.654405883051536,3.7615577724728076e-28,2.370445200970658e-26,52.95056435098725
229528_at,0.8868701593614206,4.6119836322338745,11.626496414733413,4.885934759501709e-28,3.043198783636152e-26,52.86873526474581
205488_at,-1.382689216413595,2.96875991458266,-11.605400177104972,5.952437463308775e-28,3.686038297365717e-26,52.67349432143139
215498_s_at,-0.6927255090275635,4.2015657191411435,-11.531924226487286,1.1820308182797675e-27,7.194940997858607e-26,51.96121423583331
225441_x_at,-0.6491023260436748,5.326664511038077,-11.541444046773604,1.081658504213501e-27,6.659659514735194e-26,51.95203745103085
242844_at,1.4914010647700748,3.800100570444006,11.537514504459333,1.1220190200668443e-27,6.868679863986344e-26,51.860751286625316
215693_x_at,0.7458903858445463,5.7893582097959895,11.525927535883385,1.2499576036221311e-27,7.565421360228186e-26,51.8334308934994
