"Rank","Symbol","log2FoldChange_median","padj_best","probe_selected","n_probes","ProbeIDs"
226,"RAB12",1.60367294250096,3.23247289931308e-21,"214038_at",1,"214038_at"
227,"GATAD1",1.14385838752987,3.82581474652233e-21,"210321_at",1,"210321_at"
228,"KHDRBS3",-1.12894465724084,4.65885312094776e-21,"244878_at",1,"244878_at"
229,"SLC19A3",1.18140910096772,4.80317225834209e-21,"205269_at",1,"205269_at"
230,"ULBP2",1.77952143621231,6.05682490683427e-21,"206442_at",1,"206442_at"
231,"SLC26A3",-1.13385607252161,6.50802488206521e-21,"203628_at",1,"203628_at"
232,"CYP2B7P",-1.59905830116825,7.69727883900812e-21,"204724_s_at",1,"204724_s_at"
233,"CDCA2",1.11237316143509,8.76533708398514e-21,"228033_at",1,"228033_at"
234,"IAH1",1.02305346635912,9.0048019793916e-21,"218484_at",1,"218484_at"
235,"TNRC6B",1.03697637213154,1.10427281694521e-20,"206670_s_at",1,"206670_s_at"
236,"FBXO6",-1.41039054773609,1.11989900240555e-20,"229215_at",1,"229215_at"
237,"OAS2",1.23780009449795,1.28607582198329e-20,"223501_at",1,"223501_at"
238,"HSPH1",-1.06730029540444,2.14398061619957e-20,"228008_at",1,"228008_at"
239,"CCDC68",1.03125212085477,2.40957934192052e-20,"205569_at",1,"205569_at"
240,"MMP1",1.71444010596636,2.44772204966956e-20,"204533_at",1,"204533_at"
241,"TREM1",-1.30440170376558,2.73259393304894e-20,"209425_at",1,"209425_at"
242,"PRAC1",-1.58957977038841,3.00678404331483e-20,"218002_s_at",1,"218002_s_at"
243,"RAP2A",1.07004317971207,3.46545392004832e-20,"227134_at",1,"227134_at"
244,"IRF1",1.12803787119181,3.53547514582742e-20,"204073_s_at",1,"204073_s_at"
245,"HLA-DMA",1.4353665584569,4.18263300614912e-20,"227862_at",1,"227862_at"
246,"PNMA2",1.53827913921073,4.33145162255314e-20,"220177_s_at",1,"220177_s_at"
247,"S100A8",-1.38690857718645,4.62701234641719e-20,"213385_at",1,"213385_at"
248,"IFIT3",-1.29719111585599,5.28113820152218e-20,"207217_s_at",2,"207217_s_at;219669_at"
249,"ANXA10",1.1197300207571,7.45407841162702e-20,"229437_at",1,"229437_at"
250,"CPE",0.00565730991883995,9.04725107712448e-20,"229390_at",2,"229390_at;226880_at"
251,"CA4",-1.10117248039457,1.00722486066232e-19,"208029_s_at",1,"208029_s_at"
252,"IFI44",1.25960067737617,1.02242209191532e-19,"204007_at",1,"204007_at"
253,"TSPAN6",0.093019432187825,1.31747438501393e-19,"204519_s_at",2,"204519_s_at;209426_s_at"
254,"ASPHD2",1.4219412232396,1.51924468425409e-19,"205501_at",1,"205501_at"
255,"IL6",1.26398366361537,1.56453924626783e-19,"204891_s_at",1,"204891_s_at"
256,"DEFA5",-2.91839280244626,1.56555452911951e-19,"207529_at",1,"207529_at"
257,"GP2",1.17852838828719,1.64183475125861e-19,"219386_s_at",1,"219386_s_at"
258,"GAD1",-0.02887659893781,2.68574066958726e-19,"222449_at",2,"222449_at;226550_at"
